episode,total_reward,final_velocity
1131,0,-106.766
1132,0,-106.766
1133,0,-106.766
1134,0,-106.766
1135,0,-106.766
1136,0,-106.766
1137,0,-106.766
1138,0,-106.766
1139,0,-106.766
1140,0,-106.766
1141,0,-106.766
1142,0,-106.766
1143,0,-106.766
1144,0,-106.766
1145,0,-106.766
1146,0,-106.766
1147,0,-106.766
1148,0,-106.766
1149,0,-106.766
1150,0,-106.766
1151,0,-106.766
1152,0,-106.766
1153,0,-106.766
1154,0,-106.766
1155,0,-106.766
1156,0,-106.766
1157,0,-106.766
1158,0,-106.766
1159,0,-106.766
1160,0,-106.766
1161,0,-106.766
1162,0,-106.766
1163,0,-106.766
1164,0,-106.766
1165,0,-106.766
1166,0,-106.766
1167,0,-106.766
1168,0,-106.766
1169,0,-106.766
1170,0,-106.766
1171,0,-106.766
1172,0,-106.766
1173,0,-106.766
1174,0,-106.766
1175,0,-106.766
1176,0,-106.766
1177,0,-106.766
1178,0,-106.766
1179,0,-106.766
1180,0,-106.766
1181,0,-106.766
1182,0,-106.766
1183,0,-106.766
1184,0,-106.766
1185,0,-106.766
1186,0,-106.766
1187,0,-106.766
1188,0,-106.766
1189,0,-106.766
1190,0,-106.766
1191,0,-106.766
1192,0,-106.766
1193,0,-106.766
1194,0,-106.766
1195,0,-106.766
1196,0,-106.766
1197,0,-106.766
1198,0,-106.766
1199,0,-106.766
1200,0,-106.766
1201,0,-106.766
1202,0,-106.766
1203,0,-106.766
1204,0,-106.766
1205,0,-106.766
1206,0,-106.766
1207,0,-106.766
1208,0,-106.766
1209,0,-106.766
1210,0,-106.766
1211,0,-106.766
1212,0,-106.766
1213,0,-106.766
1214,0,-106.766
1215,0,-106.766
1216,0,-106.766
1217,0,-106.766
1218,0,-106.766
1219,0,-106.766
1220,0,-106.766
1221,0,-106.766
1222,0,-106.766
1223,0,-106.766
1224,0,-106.766
1225,0,-106.766
1226,0,-106.766
1227,0,-106.766
1228,0,-106.766
1229,0,-106.766
1230,0,-106.766
1231,0,-106.766
1232,0,-106.766
1233,0,-106.766
1234,0,-106.766
1235,0,-106.766
1236,0,-106.766
1237,0,-106.766
1238,0,-106.766
1239,0,-106.766
1240,0,-106.766
1241,0,-106.766
1242,0,-106.766
1243,0,-106.766
1244,0,-106.766
1245,0,-106.766
1246,0,-106.766
1247,0,-106.766
1248,0,-106.766
1249,0,-106.766
1250,0,-106.766
1251,0,-106.766
1252,0,-106.766
1253,0,-106.766
1254,0,-106.766
1255,0,-106.766
1256,0,-106.766
1257,0,-106.766
1258,0,-106.766
1259,0,-106.766
1260,0,-106.766
1261,0,-106.766
1262,0,-106.766
1263,0,-106.766
1264,0,-106.766
1265,0,-106.766
1266,0,-106.766
1267,0,-106.766
1268,0,-106.766
1269,0,-106.766
1270,0,-106.766
1271,0,-106.766
1272,0,-106.766
1273,0,-106.766
1274,0,-106.766
1275,0,-106.766
1276,0,-106.766
1277,0,-106.766
1278,0,-106.766
1279,0,-106.766
1280,0,-106.766
1281,0,-106.766
1282,0,-106.766
1283,0,-106.766
1284,0,-106.766
1285,0,-106.766
1286,0,-106.766
1287,0,-106.766
1288,0,-106.766
1289,0,-106.766
1290,0,-106.766
1291,0,-106.766
1292,0,-106.766
1293,0,-106.766
1294,0,-106.766
1295,0,-106.766
1296,0,-106.766
1297,0,-106.766
1298,0,-106.766
1299,0,-106.766
1300,0,-106.766
1301,0,-106.766
1302,0,-106.766
1303,0,-106.766
1304,0,-106.766
1305,0,-106.766
1306,0,-106.766
1307,0,-106.766
1308,0,-106.766
